(PDH-CSV 4.0) (Iran Daylight Time)(-270),\\DESKTOP-JNAC5VS\Memory\Available MBytes,\\DESKTOP-JNAC5VS\Memory\Cache Faults/sec,\\DESKTOP-JNAC5VS\Network Adapter(Realtek 8821AE Wireless LAN 802.11ac PCI-E NIC)\Bytes Sent/sec,\\DESKTOP-JNAC5VS\Network Adapter(Realtek 8821AE Wireless LAN 802.11ac PCI-E NIC)\Bytes Received/sec,\\DESKTOP-JNAC5VS\Processor(_Total)\% C1 Time,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_0)\Processor Frequency,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_1)\Processor Frequency,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_2)\Processor Frequency,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_3)\Processor Frequency,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_4)\Processor Frequency,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_5)\Processor Frequency,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_6)\Processor Frequency,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_7)\Processor Frequency
06:16.2,6278,18.31739537,1043.758492,1282.550719,0.801392955,2592,2592,2592,2592,2592,2592,2592,2592
06:19.2,6279,5.327411383,4372.472892,1838.28989,0.732703813,2592,2592,2592,2592,2592,2592,2592,2592
06:22.2,6273,14.31775466,385.2474917,698.5732391,0.583759196,2592,2592,2592,2592,2592,2592,2592,2592
06:25.2,6226,25.31384505,356.3922921,329.7461394,0.866009624,2592,2592,2592,2592,2592,2592,2592,2592
06:28.2,6158,259.3259728,15747.31171,24836.3708,2.097768101,2592,2592,2592,2592,2592,2592,2592,2592
06:31.2,6168,11.71659028,16937.83766,25646.9466,0,2592,2592,2592,2592,2592,2592,2592,2592
06:34.2,6176,8.325013038,1283.051009,3158.842947,0.209457848,2592,2592,2592,2592,2592,2592,2592,2592
06:37.2,6239,3.329419601,0,0,0,2592,2592,2592,2592,2592,2592,2592,2592
06:40.2,6260,0.666041742,5574.103338,4153.103282,0,2592,2592,2592,2592,2592,2592,2592,2592
06:43.2,6283,2.996940024,389.2692098,134.8623011,0.211252778,2592,2592,2592,2592,2592,2592,2592,2592
06:46.2,6290,2.67808495,497.4542794,418.1160128,0,2592,2592,2592,2592,2592,2592,2592,2592
06:49.2,6297,859.6301819,53.93496881,279.3298693,0.377800058,2592,2592,2592,2592,2592,2592,2592,2592
06:52.2,6315,60.89400992,904.0930325,877.1399461,0,2592,2592,2592,2592,2592,2592,2592,2592
06:55.2,6309,12.98361381,1924.23815,2607.375984,0.403404415,2592,2592,2592,2592,2592,2592,2592,2592
06:58.2,6264,72.66824432,679.4648282,1545.121103,2.42473186,2592,2592,2592,2592,2592,2592,2592,2592
07:01.2,6189,75.53646698,355.0546708,177.0281957,3.718041256,2592,2592,2592,2592,2592,2592,2592,2592
07:04.2,6213,22.31380132,368.0112009,485.2419182,0.849067321,2592,2592,2592,2592,2592,2592,2592,2592
07:07.2,6209,57.25685916,1664.44358,5059.242707,0.595147325,2592,2592,2592,2592,2592,2592,2592,2592
07:10.2,6255,12.32536868,616.6015521,853.4485016,0.176967426,2592,2592,2592,2592,2592,2592,2592,2592
07:13.2,6289,1.338900257,0,255.7299492,1.248882093,2592,2592,2592,2592,2592,2592,2592,2592
07:16.2,6319,14.32162397,834.9839838,667.7873504,0.933105383,2592,2592,2592,2592,2592,2592,2592,2592
07:19.2,6314,18.63683779,1696.285039,3523.693544,1.176908598,2592,2592,2592,2592,2592,2592,2592,2592
07:22.2,6305,194.0927166,243.0320465,328.2597231,0.189050945,2592,2592,2592,2592,2592,2592,2592,2592
07:25.2,6309,10.0453134,285.2869007,744.0228795,0.150984542,2592,2592,2592,2592,2592,2592,2592,2592
07:28.2,6308,1.998111585,176.4998567,379.3081825,0,2592,2592,2592,2592,2592,2592,2592,2592
07:31.2,6213,3056.344893,579.5138814,1416.99632,2.314336641,2592,2592,2592,2592,2592,2592,2592,2592
07:34.2,6139,1849.952036,2738.288744,3107.346515,1.879921714,2592,2592,2592,2592,2592,2592,2592,2592
07:37.2,6114,1560.536791,4672.287773,3677.433083,2.403968753,2592,2592,2592,2592,2592,2592,2592,2592
07:40.2,6086,445.589355,483.4192552,743.5416661,1.856090398,2592,2592,2592,2592,2592,2592,2592,2592
07:43.2,6040,109.5778429,1858.493505,909.2629515,3.55824079,2592,2592,2592,2592,2592,2592,2592,2592
07:46.2,5896,796.1325413,5628.890244,8142.870282,7.586940055,2592,2592,2592,2592,2592,2592,2592,2592
07:49.2,5895,857.4003196,514.3736493,410.2346116,1.577877245,2592,2592,2592,2592,2592,2592,2592,2592
07:52.2,5901,10.98800622,411.2178087,409.5529593,2.144829936,2592,2592,2592,2592,2592,2592,2592,2592
07:55.2,5929,8.70275263,3222.361522,2806.303002,1.460103618,2592,2592,2592,2592,2592,2592,2592,2592
07:58.2,5938,6.988982335,1132.215138,2401.214645,0.974441279,2592,2592,2592,2592,2592,2592,2592,2592
08:01.2,5964,0.999030707,596.4213321,213.7925713,0.755065626,2592,2592,2592,2592,2592,2592,2592,2592
08:04.2,5969,12.65425959,614.3976036,805.8765316,1.708828754,2592,2592,2592,2592,2592,2592,2592,2592
08:07.2,5964,156.506623,1855.768957,1203.436033,1.686245804,2592,2592,2592,2592,2592,2592,2592,2592
08:10.2,5966,0.334886268,408.8961331,678.8144651,1.027099899,2592,2592,2592,2592,2592,2592,2592,2592
08:13.2,5967,3.995684528,185.4663568,0,1.602329601,2592,2592,2592,2592,2592,2592,2592,2592
08:16.2,5966,13.98811989,1279.246869,1487.070364,2.913059168,2592,2592,2592,2592,2592,2592,2592,2592
08:19.2,5960,0,2365.670031,3995.52408,6.343894082,2592,2592,2592,2592,2592,2592,2592,2592
08:22.2,5958,4.663219459,327.4246235,203.5162207,2.476104261,2592,2592,2592,2592,2592,2592,2592,2592
08:25.2,5949,4.661281488,473.4530197,355.2562391,0.747484275,2592,2592,2592,2592,2592,2592,2592,2592
08:28.2,5944,6.695292389,289.2366312,587.1771425,1.808246214,2592,2592,2592,2592,2592,2592,2592,2592
08:31.2,5944,57.55792823,361.650104,352.0016651,5.320549087,2592,2592,2592,2592,2592,2592,2592,2592
08:34.2,5932,15.31911719,889.1748457,989.0821318,2.22172794,2592,2592,2592,2592,2592,2592,2592,2592
08:37.2,5919,1.665163745,1154.624541,1448.692458,1.818848251,2592,2592,2592,2592,2592,2592,2592,2592
